group,family,size,direction,depth,materialization,mode,implementation,samples,completed,timeouts,failures,planned_answers,definitive_answers,unknown_answers,resource_answers,facts_min,facts_max,definitive_coverage,wall_ms_q25,wall_ms_median,wall_ms_q75,peak_rss_kib_q25,peak_rss_kib_median,peak_rss_kib_q75,load_ms_q25,load_ms_median,load_ms_q75,query_ms_q25,query_ms_median,query_ms_q75,certificate_ms_q25,certificate_ms_median,certificate_ms_q75,withdrawal_ms_q25,withdrawal_ms_median,withdrawal_ms_q75,reassertion_ms_q25,reassertion_ms_median,reassertion_ms_q75,reopen_ms_q25,reopen_ms_median,reopen_ms_q75,bytes_q25,bytes_median,bytes_q75,steps_q25,steps_median,steps_q75,validation_ms_q25,validation_ms_median,validation_ms_q75,serialization_ms_q25,serialization_ms_median,serialization_ms_q75
bounds,chain,8,backward,2,False,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,33.7536884999281,34.56562199789914,36.289337500420515,4900.0,4900.0,4900.0,0.4813635,0.490131,0.5204815,29.2765525,30.254331999999998,32.245906000000005,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,2,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,34.27584249948268,34.96221199930005,35.21991550042003,4900.0,4900.0,4900.0,0.48857649999999997,0.5080720000000001,0.5302525,30.0494895,30.7588,31.236123,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,5,False,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,33.75645450068987,35.46343099878868,39.46936250122235,4900.0,4900.0,4900.0,0.481893,0.520817,0.5915845000000001,29.47981,31.100326000000003,33.662207,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,5,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,34.019254998383985,34.47111000059522,35.02707300049224,4900.0,4900.0,4900.0,0.482062,0.491352,0.500492,29.4176775,30.023187999999998,30.597713,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,10,False,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,34.58833999866329,36.118423000516486,37.41775400158076,4900.0,4900.0,4900.0,0.49836749999999996,0.531453,0.5795840000000001,30.447945,31.582152,32.4484795,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,33.03417000097397,34.84231000038562,39.96716500114417,4900.0,4900.0,4900.0,0.5199965,0.556763,0.5971299999999999,28.72363,30.675338,35.150195499999995,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,20,False,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,33.37957149960857,35.281747001135955,36.39378849948116,4900.0,4900.0,4900.0,0.493939,0.5185120000000001,0.570794,29.2176185,30.906177,32.29173350000001,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,backward,20,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,33.72602649869805,36.48739300115267,38.47907500130532,4900.0,4900.0,4900.0,0.514563,0.538513,0.5703035,28.851458,32.034926999999996,33.690139,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,2,False,verdict,nibli,15,15,0,0,15,0,0,15,8,8,0.0,629.7577179993823,648.7928850001481,660.4150404982647,6308.0,6308.0,6820.0,0.5405705000000001,0.555768,0.573848,624.277519,642.727559,654.8047515000001,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,2,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,627.7488259984239,643.5740819979401,676.0965249995934,6308.0,6308.0,6820.0,0.5408660000000001,0.545343,0.6019545,622.6634075000001,638.271754,670.6397695,,,,,,,,,,,,,,,,,,,,,,,,
